user_id	trial_date	purchase_date	type
-208666584	2019-11-13 16:22:01	2019-11-27 16:22:01	yearly
36532226	2019-11-13 16:38:13	NULL	yearly
-1052309597	2019-11-13 16:48:07	2019-11-27 16:48:07	yearly
1169136974	2019-11-13 16:48:23	2019-12-25 12:30:52	yearly
-750037363	2019-11-13 16:49:17	NULL	yearly
1949749329	2019-11-13 16:49:47	NULL	yearly
-438867644	2019-11-13 16:56:09	NULL	yearly
-554136253	2019-11-13 17:00:48	2019-11-27 17:00:48	monthly
1461979852	2019-11-13 17:11:21	2019-11-27 17:11:21	monthly
-462146285	2019-11-13 17:20:23	NULL	yearly
-649836190	2019-11-13 17:22:13	NULL	yearly
-1274850932	2019-11-13 18:13:41	NULL	yearly
804085734	2019-11-13 18:18:22	NULL	yearly
2000520313	2019-11-13 18:33:03	NULL	yearly
-187032551	2019-11-13 18:34:11	NULL	yearly
843488479	2019-11-13 19:03:02	NULL	yearly
-990354600	2019-11-13 19:14:53	2019-11-27 19:14:53	monthly
-1813911715	2019-11-13 19:31:29	NULL	yearly
597443361	2019-11-13 19:32:41	NULL	yearly
201069312	2019-11-13 19:35:35	NULL	yearly
954953337	2019-11-13 19:51:52	2019-11-27 19:51:52	monthly
2071904182	2019-11-13 20:06:54	2019-11-27 20:06:54	monthly
-1975030554	2019-11-13 20:06:54	NULL	yearly
-1195852236	2019-11-13 20:22:05	NULL	yearly
-1325792932	2019-11-13 20:34:56	2019-11-27 20:34:56	monthly
-1116894590	2019-11-13 21:14:15	NULL	yearly
-1256345752	2019-11-13 21:35:57	NULL	monthly
-409100318	2019-11-13 21:40:11	NULL	yearly
-1097393697	2019-11-13 21:41:42	NULL	yearly
-704442292	2019-11-13 22:00:12	NULL	yearly
2066518325	2019-11-13 22:01:11	2019-11-27 22:01:11	monthly
1414366316	2019-11-13 22:08:34	NULL	yearly
879787309	2019-11-13 22:12:39	NULL	yearly
1117853083	2019-11-13 22:54:10	2019-11-27 22:54:10	yearly
1642044235	2019-11-13 22:54:43	NULL	yearly
543870758	2019-11-13 22:56:41	2019-11-27 22:56:41	yearly
-1138529430	2019-11-13 23:04:40	NULL	monthly
1711890375	2019-11-13 23:12:46	2019-12-08 11:22:00	monthly
-144041991	2019-11-13 23:20:08	NULL	yearly
1181748244	2019-11-13 23:26:29	2019-11-28 12:53:49	yearly
1137284844	2019-11-13 23:32:06	NULL	yearly
378541583	2019-11-13 23:55:27	NULL	yearly
-1657203811	2019-11-13 23:56:40	NULL	yearly
1854691294	2019-11-14 0:15:42	NULL	yearly
1758424534	2019-11-14 0:25:44	NULL	yearly
1256062599	2019-11-14 0:36:25	NULL	yearly
1655157345	2019-11-14 0:47:35	2019-11-28 0:47:35	yearly
398304804	2019-11-14 0:51:23	2019-11-28 0:51:23	yearly
1587693515	2019-11-14 1:02:23	2020-01-01 19:34:20	yearly
5652262	2019-11-14 1:05:52	2019-11-28 1:05:52	monthly
-896660165	2019-11-14 1:08:13	2019-11-28 1:08:13	yearly
1168423787	2019-11-14 1:20:31	NULL	yearly
2145545390	2019-11-14 1:30:07	NULL	yearly
790633026	2019-11-14 1:55:33	NULL	yearly
-250375346	2019-11-14 1:58:58	NULL	yearly
-2034423793	2019-11-14 2:18:34	NULL	yearly
1028692453	2019-11-14 2:21:21	2019-11-28 2:21:21	yearly
1757137870	2019-11-14 2:49:32	NULL	yearly
-1611932395	2019-11-14 3:01:01	NULL	yearly
-484930461	2019-11-14 3:01:37	NULL	yearly
1690729402	2019-11-14 3:04:48	NULL	yearly
-731651184	2019-11-14 3:10:27	2019-11-28 3:10:27	yearly
-480092440	2019-11-14 3:15:13	NULL	yearly
2146498455	2019-11-14 3:30:28	2019-12-05 23:04:23	monthly
-907118230	2019-11-14 3:50:49	NULL	yearly
1066988581	2019-11-14 4:05:59	2020-01-10 2:40:22	yearly
-23695467	2019-11-14 4:12:56	NULL	yearly
-86334503	2019-11-14 4:56:12	2019-11-28 4:56:12	monthly
1908253363	2019-11-14 5:06:45	2019-12-11 23:05:04	yearly
1617685775	2019-11-14 5:27:07	2019-11-28 5:27:07	yearly
-1914147432	2019-11-14 5:33:13	NULL	yearly
-720465821	2019-11-14 5:36:28	2019-11-28 5:36:28	yearly
794346093	2019-11-14 6:04:44	NULL	yearly
442603467	2019-11-14 6:13:12	NULL	yearly
2068726878	2019-11-14 6:13:35	NULL	yearly
564854883	2019-11-14 6:16:24	NULL	yearly
1070901015	2019-11-14 6:19:57	NULL	yearly
-1575271003	2019-11-14 6:54:00	2019-11-28 6:54:00	yearly
-1335488938	2019-11-14 6:59:35	NULL	yearly
-1910682129	2019-11-14 7:01:09	NULL	yearly
-1292811427	2019-11-14 7:23:54	2019-11-28 7:23:54	yearly
-1510319969	2019-11-14 7:24:30	NULL	yearly
-390037753	2019-11-14 7:26:48	NULL	yearly
2078034404	2019-11-14 7:42:47	NULL	yearly
-1360020805	2019-11-14 7:46:50	NULL	yearly
337078770	2019-11-14 7:55:30	2019-11-28 7:55:30	monthly
-1501154126	2019-11-14 8:12:17	2019-11-28 8:12:17	yearly
-1350428080	2019-11-14 8:49:48	NULL	yearly
-1578284297	2019-11-14 8:58:05	NULL	yearly
417403870	2019-11-14 8:58:28	NULL	yearly
1122025112	2019-11-14 9:09:12	NULL	yearly
-1483933448	2019-11-14 9:16:18	NULL	monthly
825167477	2019-11-14 9:20:35	2019-11-28 9:20:35	yearly
-1742396414	2019-11-14 9:22:06	NULL	yearly
1147557500	2019-11-14 9:50:00	NULL	yearly
-2117883053	2019-11-14 9:52:14	NULL	yearly
-169803178	2019-11-14 9:52:20	NULL	yearly
1835565841	2019-11-14 9:53:43	NULL	yearly
-241014493	2019-11-14 9:55:24	NULL	yearly
-1158183083	2019-11-14 10:26:37	NULL	yearly
-819162272	2019-11-14 10:39:52	NULL	yearly
-859947286	2019-11-14 11:02:52	NULL	yearly
2133112970	2019-11-14 11:07:41	NULL	yearly
1884471965	2019-11-14 11:36:37	NULL	yearly
1623550628	2019-11-14 12:11:59	NULL	yearly
1140458245	2019-11-14 12:13:24	2019-11-28 12:13:24	yearly
-1995957508	2019-11-14 12:33:00	NULL	yearly
-1937694067	2019-11-14 12:34:49	NULL	yearly
-84638740	2019-11-14 12:52:58	NULL	monthly
-1908552197	2019-11-14 13:01:15	2019-11-29 22:19:48	yearly
-1558060428	2019-11-14 13:14:41	2019-12-02 14:11:03	monthly
-1527985313	2019-11-14 13:18:55	2019-11-30 17:22:28	yearly
-1066891537	2019-11-14 13:25:45	2019-11-28 13:25:45	yearly
741742117	2019-11-14 13:55:55	2019-11-28 12:39:46	yearly
-52070329	2019-11-14 14:00:08	2019-11-28 14:00:08	yearly
490864790	2019-11-14 14:04:28	2019-11-28 14:04:28	monthly
966171329	2019-11-14 14:04:59	NULL	yearly
40044426	2019-11-14 14:05:55	NULL	yearly
1723259195	2019-11-14 14:15:37	2019-11-28 14:15:37	yearly
752881776	2019-11-14 14:30:35	2019-11-30 14:51:14	monthly
1750803010	2019-11-14 14:45:32	NULL	yearly
-1898179330	2019-11-14 14:47:15	NULL	yearly
1209701075	2019-11-14 14:48:47	2019-11-28 14:48:47	yearly
-1899234726	2019-11-14 15:33:43	NULL	yearly
-1055831750	2019-11-14 15:39:06	NULL	yearly
-1368133489	2019-11-14 15:48:28	NULL	yearly
-691782107	2019-11-14 16:15:49	NULL	yearly
514252053	2019-11-14 16:29:23	2019-11-28 16:29:23	yearly
3420201	2019-11-14 16:33:13	NULL	yearly
-191485871	2019-11-14 16:42:26	2019-11-28 16:42:26	yearly
749463820	2019-11-14 16:48:48	2019-11-28 16:48:48	monthly
413744132	2019-11-14 17:15:23	NULL	yearly
-360220755	2019-11-14 17:15:34	NULL	yearly
286213862	2019-11-14 17:16:51	NULL	yearly
280800547	2019-11-14 18:11:58	NULL	yearly
-1318230676	2019-11-14 18:16:12	NULL	yearly
-1436670008	2019-11-14 18:23:13	NULL	yearly
1139847821	2019-11-14 19:18:45	NULL	yearly
-1186646397	2019-11-14 19:59:03	NULL	yearly
-1722680668	2019-11-14 20:00:06	NULL	monthly
-1761545788	2019-11-14 20:47:49	NULL	yearly
-1642899653	2019-11-14 20:47:53	2019-11-28 20:47:53	monthly
-384851762	2019-11-14 20:48:07	NULL	yearly
-472732691	2019-11-14 20:55:02	NULL	monthly
-705996854	2019-11-14 20:57:46	2019-11-28 20:57:46	monthly
-513121229	2019-11-14 21:01:19	NULL	yearly
-369403570	2019-11-14 21:20:57	NULL	yearly
-1884252364	2019-11-14 21:44:56	NULL	yearly
1848463950	2019-11-14 21:52:09	NULL	yearly
-1930334135	2019-11-14 22:13:00	NULL	yearly
-1425603693	2019-11-14 22:37:03	NULL	yearly
1372409911	2019-11-14 23:40:06	2019-11-28 23:40:06	yearly
-1357559971	2019-11-14 23:42:01	NULL	yearly
-533736323	2019-11-14 23:44:49	NULL	monthly
790409507	2019-11-15 0:00:43	2019-11-29 0:00:43	yearly
511401341	2019-11-15 0:21:48	2019-11-29 0:21:48	monthly
1420615411	2019-11-15 1:06:35	NULL	yearly
98563117	2019-11-15 1:10:03	2019-11-29 1:10:03	yearly
1449571978	2019-11-15 1:29:03	NULL	yearly
1228723298	2019-11-15 1:38:34	NULL	yearly
-592842614	2019-11-15 1:50:28	NULL	yearly
1369510053	2019-11-15 1:50:59	2019-11-29 1:50:59	yearly
1630513785	2019-11-15 1:55:23	2019-12-02 20:26:04	yearly
-2001341981	2019-11-15 2:04:31	2019-12-02 4:47:52	yearly
695308808	2019-11-15 2:09:54	NULL	yearly
-805127517	2019-11-15 2:19:04	2019-12-11 20:11:10	yearly
789476680	2019-11-15 2:20:22	NULL	yearly
2072939759	2019-11-15 2:33:28	NULL	monthly
-1108934221	2019-11-15 2:36:07	NULL	yearly
-1184710494	2019-11-15 2:41:48	2019-11-29 2:41:48	yearly
302344972	2019-11-15 3:11:51	NULL	yearly
-2054908321	2019-11-15 3:18:43	2019-11-29 3:18:43	yearly
-1471472502	2019-11-15 3:19:45	NULL	yearly
739143483	2019-11-15 3:25:59	NULL	yearly
721677828	2019-11-15 3:27:14	NULL	yearly
-757379465	2019-11-15 3:28:29	NULL	yearly
-1285975214	2019-11-15 3:44:36	NULL	yearly
1578921604	2019-11-15 3:53:29	2019-11-29 3:53:29	yearly
953300497	2019-11-15 4:23:09	NULL	yearly
-1637725371	2019-11-15 4:33:13	NULL	yearly
-212052856	2019-11-15 4:36:05	2019-12-29 13:49:48	yearly
-616474737	2019-11-15 4:37:01	NULL	yearly
-559557254	2019-11-15 5:12:09	2019-12-12 12:04:29	yearly
1943626020	2019-11-15 5:13:41	2019-11-29 5:13:41	yearly
569520529	2019-11-15 5:39:25	2019-11-29 5:39:25	yearly
-1854256266	2019-11-15 5:49:25	2019-11-29 5:49:25	monthly
2020706415	2019-11-15 6:03:16	2019-11-29 6:03:16	monthly
-94534084	2019-11-15 7:10:33	NULL	yearly
453372281	2019-11-15 7:26:47	NULL	yearly
